,name,without_disc,keke_disc,price,discounted_price,discount_percentage,url,group_number
15,16429346 rem-watch-LUX-38/40/серебристый,666,15,2150,566,73,https://www.wildberries.ru/catalog/16429346/detail.aspx?,6
16,37077394 AQSA-LUX-38/40/серебристый,681,15,1661,578,65,https://www.wildberries.ru/catalog/37077394/detail.aspx?,6
17,16429345 rem-watch-LUX-38/40/розовый,703,15,2011,598,70,https://www.wildberries.ru/catalog/16429345/detail.aspx?,7
18,37077393 AQSA-LUX-38/40/розовый,438,10,1460,394,73,https://www.wildberries.ru/catalog/37077393/detail.aspx?,7
19,19109207 rem-watch-LUX-38/40/розовое золото,704,15,2200,598,72,https://www.wildberries.ru/catalog/19109207/detail.aspx?,8
20,102127952 AQSA-LUX-38/40/розовое золото,548,10,1096,493,55,https://www.wildberries.ru/catalog/102127952/detail.aspx?,8
21,"32245988 rem-watch-LUX-38/40/серебро, розовое золото",748,15,2200,635,71,https://www.wildberries.ru/catalog/32245988/detail.aspx?,9
22,"102127951 AQSA-LUX-38/40/серебро, розовое золото",624,15,1096,531,51,https://www.wildberries.ru/catalog/102127951/detail.aspx?,9
23,19140005 rem-watch-LUX/2.0/42/44/черный,1122,15,4490,954,78,https://www.wildberries.ru/catalog/19140005/detail.aspx?,10
24,29231169 Brono Mo-LUX/2.0/42/44/черный,NO DISCOUNTED PRICE,NO DISCOUNT,3500,1130,67,https://www.wildberries.ru/catalog/29231169/detail.aspx?,10
25,19140004 rem-watch-LUX/2.0/42/44/серебристый,1136,15,3920,966,75,https://www.wildberries.ru/catalog/19140004/detail.aspx?,11
26,29330249 Brono Mo-LUX/2.0/42/44/серебристый,NO DISCOUNTED PRICE,NO DISCOUNT,3500,1190,66,https://www.wildberries.ru/catalog/29330249/detail.aspx?,11
27,30270834 rem-watch-LUX/2.0/42/44/розовое золото,995,15,3111,846,72,https://www.wildberries.ru/catalog/30270834/detail.aspx?,12
28,29330326 Brono Mo-LUX/2.0/42/44/розовое золото,NO DISCOUNTED PRICE,NO DISCOUNT,3500,1071,69,https://www.wildberries.ru/catalog/29330326/detail.aspx?,12
29,14377462 rem-watch-М-38/40/серебристый,345,10,1150,310,73,https://www.wildberries.ru/catalog/14377462/detail.aspx?,13
30,12401178  Marchelite-М-38/40/серебристый,346,10,722,311,56,https://www.wildberries.ru/catalog/12401178/detail.aspx?,13
31,18648966 AQSA- М-38/40/серебристый,351,10,1405,316,77,https://www.wildberries.ru/catalog/18648966/detail.aspx?,13
32,15843704 rem-watch-М-38/40/розовый,345,10,1150,310,73,https://www.wildberries.ru/catalog/15843704/detail.aspx?,14
33,12401177 Marchelite-М-38/40/серебристый,346,10,722,311,56,https://www.wildberries.ru/catalog/12401177/detail.aspx?,14
34,18648967 AQSA- М-38/40/розовый,294,NO DISCOUNT,1404,294,79,https://www.wildberries.ru/catalog/18648967/detail.aspx?,14
35,14057931 rem-watch-М-38/40/черный,368,10,1150,331,71,https://www.wildberries.ru/catalog/14057931/detail.aspx?,15
36,12401176 Marchelite-М-38/40/черный,346,10,722,311,56,https://www.wildberries.ru/catalog/12401176/detail.aspx?,15
37,27109819 AQSA- М-38/40/черный,351,10,1405,316,77,https://www.wildberries.ru/catalog/27109819/detail.aspx?,15
38,14057929 rem-watch-М-38/40/золотой,348,10,1090,313,71,https://www.wildberries.ru/catalog/14057929/detail.aspx?,15
39,27109821 AQSA- М-38/40/золотой,340,10,1360,306,77,https://www.wildberries.ru/catalog/27109821/detail.aspx?,15
40,14057934 rem-watch-М-42/44/черный,317,10,935,286,69,https://www.wildberries.ru/catalog/14057934/detail.aspx?,16
41,113408542 HaruAccessories-М-42/44/черный,337,10,750,303,59,https://www.wildberries.ru/catalog/113408542/detail.aspx?,16
42,92083971 Lux Device-М-42/44/черный,396,10,1100,356,67,https://www.wildberries.ru/catalog/92083971/detail.aspx?,16
43,14136761 rem-watch-М-42/44/серебристый,299,NO DISCOUNT,935,299,68,https://www.wildberries.ru/catalog/14136761/detail.aspx?,17
44,115486133 HaruAccessories-М-42/44/серебристый,337,10,750,303,59,https://www.wildberries.ru/catalog/115486133/detail.aspx?,17
45,92083969 Lux Device-М-42/44/серебристый,396,10,1100,356,67,https://www.wildberries.ru/catalog/92083969/detail.aspx?,17
46,15843706 rem-watch-М-42/44/розовый,317,10,935,286,69,https://www.wildberries.ru/catalog/15843706/detail.aspx?,18
47,115819912 HaruAccessories-М-42/44/розовый,337,10,750,303,59,https://www.wildberries.ru/catalog/115819912/detail.aspx?,18
48,92083975 Lux Device-М-42/44/розовый,396,10,1100,356,67,https://www.wildberries.ru/catalog/92083975/detail.aspx?,18
49,14057932 rem-watch-М-42/44/золотой,327,10,935,294,68,https://www.wildberries.ru/catalog/14057932/detail.aspx?,19
50,92083972 Lux Device-М-42/44/золотой,396,10,1100,356,67,https://www.wildberries.ru/catalog/92083972/detail.aspx?,19
51,14740197 rem-watch-38/40/белый,217,NO DISCOUNT,807,217,73,https://www.wildberries.ru/catalog/14740197/detail.aspx?,20
52,90566975 Banside-38/40/белый,236,NO DISCOUNT,473,236,50,https://www.wildberries.ru/catalog/90566975/detail.aspx?,20
53,3149359 HaruAccessories-42/44/белый,,,OUT OF STOCK,OUT OF STOCK,OUT OF STOCK,https://www.wildberries.ru/catalog/3149359/detail.aspx?,20
54,13851536 rem-watch-38/40/черный,217,NO DISCOUNT,807,217,73,https://www.wildberries.ru/catalog/13851536/detail.aspx?,21
55,90566969 Banside-38/40/черный,249,NO DISCOUNT,498,249,50,https://www.wildberries.ru/catalog/90566969/detail.aspx?,21
56,25910205 HaruAccessories-42/44/черный,249,NO DISCOUNT,510,249,51,https://www.wildberries.ru/catalog/25910205/detail.aspx?,21
